Event Number,Occurred/Discovered Date and Time,Occurred Date,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend,Latitude,Longitude,Nearest Populated Centre,Province,Population Density,Incident Types,Company,Significant,Product Category,Product Type,Volume Released,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Pipeline or facility equipment involved,Rupture,Pipe body release,Residual effects on the environment,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Kilometre post,Emergency Level,Equipment or component involved,Nominal pipe size,Material,Licensed maximum operating pressure (kPa),Year of installation,Year when put into service,Repair type,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,STATION_NAME,DISTANCE_WEATHER_STATION_KM,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
INC2008-034,2008-03-31 1:17,2008-03-31,31.0,3.0,2008.0,Monday,2.0,14.0,0.0,47.44678,-79.76267,Haileybury,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Construction,,No,No,No,No,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,,Level I,"Station/Facility, Compression, Fitting, Other (please explain)",NPS 1,,0.0,,,Replacement,No,,,No,No,9/21/2008,Replacement,No,EARLTON AWOS,19.72947061435949,6072224,0.6,,-2.3,,3.5,,3.5,,,M,,M,,,19,,41,,0,,17.4,,56,,97,
INC2008-041,2008-04-15 12:00,2008-04-15,15.0,4.0,2008.0,Tuesday,3.0,16.0,0.0,55.33867,-121.87115,Chetwynd,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Yes,Gas,Natural Gas - Sour,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,,,,Kilometer Post 12,Level I,"Pipeline, Valve, Ball, Other (please explain)",,,,,,Replacement,No,,,No,No,,Replacement,No,CHETWYND A,32.565212824474116,1181508,4.8,,-1.9,,11.4,,0,,0,,0,,0,T,,,,,0,,13.2,,,,,
INC2008-037,2008-04-16 2:30,2008-04-16,16.0,4.0,2008.0,Wednesday,4.0,16.0,0.0,49.80823,-94.18954,Kenora,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional","Human Factors, Tools and Equipment",Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) 50-2,Level I,"Pipeline, Fitting, Nipple, Thread",,,,,,Replacement,No,,,No,No,,Replacement,No,KENORA A,37.38759777816898,6034075,7.6,,3,,12.2,,2,,2,,0,,0,T,0,,0,,0,,10.4,,,M,,M
INC2008-039,2008-04-21 7:00,2008-04-21,21.0,4.0,2008.0,Monday,2.0,17.0,0.0,50.48057,-104.56646,Regina,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,"Plains Marketing Canada, L.P.",No,Liquid,Crude Oil - Sweet,4.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Legal Subdivision NW-33-17-19 W2,Level I,,,,,,,,No,,,No,No,,,No,REGINA GILMOUR,16.33465268046461,4016651,,,,,,,1,,1,,0,,0,,,,,,,,,,,,,
INC2008-040,2008-04-24 7:00,2008-04-24,24.0,4.0,2008.0,Thursday,5.0,17.0,0.0,56.27973,-120.96341,Charlie Lake,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Yes,Gas,Natural Gas - Sour,,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate communications, Inadequate communication methods ","Failure in communication, Human Factors",Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Kilometer Post 24.5,Level I,"Pipeline, Fitting, Nipple, Body",,,,,,Replacement,No,,,No,No,4/24/2008,Replacement,No,CHARLIE LAKE,11.938536903760268,11814FR,-6.8,,-10,,-3.5,,0,,0,,0,,9,,,,,,0,,24.8,,,,,
INC2008-045,2008-05-06 11:45,2008-05-06,6.0,5.0,2008.0,Tuesday,3.0,19.0,0.0,51.63826,-108.3544,Herschel,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,9.4,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Herschel Pump Station,,,Mile Post 257,Level I,"Station/Facility, Pumping, Piping",NPS 3/4,,0.0,,,Replacement,No,,,No,No,,Replacement,No,KERROBERT,46.89798382075808,4043750,10.5,,4.5,,16.5,,0,,0,,0,,0,,,,,,0,,7.5,,,,,
INC2008-048,2008-05-11 11:30,2008-05-11,11.0,5.0,2008.0,Sunday,1.0,20.0,1.0,50.48386,-104.61447,Regina,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,7.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Regina Terminal,,,,Level I,"Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)",,,,,,Replacement,No,,,No,No,5/12/2008,Replacement,No,REGINA GILMOUR,17.952354229351133,4016651,,,,,,,1.4,,1.4,,0,,0,,,,,,,,,,,,,
INC2008-056,2008-06-05 7:20,2008-06-05,5.0,6.0,2008.0,Thursday,5.0,23.0,0.0,53.5431,-113.35401,Edmonton,Alberta,10 or fewer dwelling units,Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,8.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Edmonton Terminal,,,Mile Post 0,Level I,"Storage, Tank, Aboveground",,,,,,Removal,No,,,No,No,6/5/2008,Repair,No,BUSBY,13.121594942611466,3010978,17,,9.5,,24.5,,0,,0,,0,,0,,,,,,0,,1,,,,,
INC2008-057,2008-06-06 11:23,2008-06-06,6.0,6.0,2008.0,Friday,6.0,23.0,0.0,43.87378,-79.57985,Maple,Ontario,10 or fewer dwelling units,Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,270.0,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 130 (Maple Compressor Station),,,Kilometer Post,Level I,,,,,,,,No,,,No,No,,,No,AURORA NE,29.118810499017126,6150398,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,
INC2008-060,2008-06-12 12:00,2008-06-12,12.0,6.0,2008.0,Thursday,5.0,24.0,0.0,49.91204,-98.51757,Portage La Prairie,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,Public,Yes,No,No,No,,,,,Level I,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",,,,,,Rebuilt,No,,,No,No,6/12/2008,Repair,No,BEAVER,14.87083135931711,5040166,,,,,,,,,,,,,0,,,,,,,,,,,,,
INC2008-067,2008-07-06 12:00,2008-07-06,6.0,7.0,2008.0,Sunday,1.0,28.0,1.0,53.54745,-113.35577,Edmonton,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Synthetic,40.0,"Substandard Acts, Failure to warn",Incorrect Operation,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Edmonton Terminal,,,,Level I,"Storage, Tank, Aboveground",,,,,,Removal,No,,,No,No,,Repair,No,BUSBY,12.809485914438424,3010978,16.3,,11.5,,21,,16.6,,16.6,,0,,0,,,,,,0,,1.7,,,,,
INC2008-072,2008-07-09 12:00,2008-07-09,9.0,7.0,2008.0,Wednesday,4.0,28.0,0.0,49.31834,-102.28983,Alameda,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Alliance Pipeline Ltd.,No,Gas,Natural Gas - Sweet,800.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Alliance - Alameda Compressor Station,,,,Level I,"Station/Facility, Compression, Valve",,,,,,Rebuilt,No,,,No,No,7/9/2008,Repair,No,OXBOW,21.443721592548062,4015800,17.5,,9.5,,25.5,,4.5,,4.5,,0,,,M,,,,,0,,0.5,,,,,
INC2008-079,2008-07-12 12:00,2008-07-12,12.0,7.0,2008.0,Saturday,7.0,28.0,1.0,50.539202,-107.30766,Herbert,Saskatchewan,10 or fewer dwelling units,Release of Substance,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,No,Gas,Propane,0.5,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Excessive wear and tear, Use for wrong purpose",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Station/Facility, Pumping, Pump",,,0.0,,,Replacement,No,,,No,No,7/13/2008,Replacement,No,BEECHY,10.020881829185774,4020560,16,,9,,23,,0,,0,,0,,0,,,,,,0,,2,,,,,
INC2008-070,2008-07-16 12:00,2008-07-16,16.0,7.0,2008.0,Wednesday,4.0,29.0,0.0,50.20731,-101.48747,Moosomin,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Personal factors, Abuse or misuse, Improper conduct that is condoned, Intentional",Human Factors,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 25 (Moosomin Compressor Station),,,,Level I,"Station/Facility, Compression, Compressor",NPS 3/8,Carbon Steel,0.0,,,Replacement,No,,,No,No,7/16/2008,Replacement,No,ROCANVILLE,13.840216293654725,4016842,15.8,,11,,20.5,,4.3,,4.3,,0,,0,,,,,,0,,2.2,,,,,
INC2008-075,2008-07-23 8:30,2008-07-23,23.0,7.0,2008.0,Wednesday,4.0,30.0,0.0,53.5416,-113.36454,Edmonton,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Diesel Fuel,2.0,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Edmonton Terminal,,,,Level I,"Storage, Tank, Aboveground",,,,,,Replacement,No,,,No,No,8/12/2008,Replacement,No,BUSBY AGCM,12.502872122911787,3010979,15.2,,8.8,,21.6,,,M,,M,,M,,,,M,,M,0,,2.8,,,,,
INC2008-078,2008-07-29 11:00,2008-07-29,29.0,7.0,2008.0,Tuesday,3.0,31.0,0.0,49.79469,-85.85655,Hearst,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) Station 84,Level I,"Station/Facility, Compression, Pipe",NPS 1/4,,0.0,,,Replacement,No,,,No,No,,Replacement,No,GERALDTON A,62.32246574280382,6042716,15.8,,13,,18.5,,5.8,,5.8,,0,,0,,16,,41,,0,,2.2,,60,,87,
INC2008-086,2008-08-28 11:30,2008-08-28,28.0,8.0,2008.0,Thursday,5.0,35.0,0.0,49.85542,-93.36393,Vermilion Bay,Ontario,10 or fewer dwelling units,Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) MLV50 + 11.163,Level I,"Pipeline, Pipe, Body",,,,,,,No,,,No,No,,,No,GRASSY NARROWS,30.04318485332854,6033505,,,,,,,7.6,,7.6,,0,,0,,,,,,,,,,,,,
INC2008-087,2008-09-05 12:00,2008-09-05,5.0,9.0,2008.0,Friday,6.0,36.0,0.0,56.14631,-120.6692,Taylor,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Butane,0.1,"Damage or deterioration mechanism, External Interference, Company Contractor",External Interference,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Construction,,Yes,No,No,No,,,,,Level I,Processing Plant,,,,,,Replacement,No,,,No,No,,Replacement,No,FORT ST JOHN A,14.101140859410425,1183000,11.3,,6.3,,16.2,,0.4,,0.4,,0,,0,,0,,0,,0,,6.7,,,M,,M
INC2008-095,2008-09-25 3:35,2008-09-25,25.0,9.0,2008.0,Thursday,5.0,39.0,0.0,49.68098,-95.37458,Falcon Lake,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Mechanical Damage Delayed Cracking",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,,Level I,"Pipeline, Pipe, Body",NPS 30,,6048.0,1957.0,,Replacement,No,,,No,No,10/19/2008,Replacement,No,RENNIE,19.484058304548775,5032360,14,,6.5,,21.5,,0,,0,,0,,0,,,,,,0,,4,,,,,
INC2008-098,2008-10-16 2:30,2008-10-16,16.0,10.0,2008.0,Thursday,5.0,42.0,0.0,49.91211,-98.51757,Portage La Prairie,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, External Interference, Third Party",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,LINE 100-2,"508.00000000, 609.60000000, 762.00000000, 863.60000000, 914.40000000",3393.42642,Mainline Valve + Offset (km) MLV 34 + 0,Level I,"Station/Facility, Compression, Pipe",NPS 1/2,,0.0,,,Replacement,No,,,No,No,10/18/2008,Replacement,No,BEAVER,14.863959921203849,5040166,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2008-103,2008-11-03 2:00,2008-11-03,3.0,11.0,2008.0,Monday,2.0,45.0,0.0,49.65789,-96.16268,Reynolds,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 43 (Spruce Compresor Station),,,,Level I,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",NPS 2,,0.0,,,Replacement,No,,,No,No,11/3/2008,Replacement,No,OAKBANK,27.362091969724016,5022051,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,
