Date_Key,Date_Full_Format,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend
275,2008-10-01,1,10,2008,Wednesday,4,40,0
276,2008-10-02,2,10,2008,Thursday,5,40,0
277,2008-10-03,3,10,2008,Friday,6,40,0
278,2008-10-04,4,10,2008,Saturday,7,40,1
279,2008-10-05,5,10,2008,Sunday,1,41,1
280,2008-10-06,6,10,2008,Monday,2,41,0
281,2008-10-07,7,10,2008,Tuesday,3,41,0
282,2008-10-08,8,10,2008,Wednesday,4,41,0
283,2008-10-09,9,10,2008,Thursday,5,41,0
284,2008-10-10,10,10,2008,Friday,6,41,0
285,2008-10-11,11,10,2008,Saturday,7,41,1
286,2008-10-12,12,10,2008,Sunday,1,42,1
287,2008-10-13,13,10,2008,Monday,2,42,0
288,2008-10-14,14,10,2008,Tuesday,3,42,0
289,2008-10-15,15,10,2008,Wednesday,4,42,0
290,2008-10-16,16,10,2008,Thursday,5,42,0
291,2008-10-17,17,10,2008,Friday,6,42,0
292,2008-10-18,18,10,2008,Saturday,7,42,1
293,2008-10-19,19,10,2008,Sunday,1,43,1
294,2008-10-20,20,10,2008,Monday,2,43,0
295,2008-10-21,21,10,2008,Tuesday,3,43,0
296,2008-10-22,22,10,2008,Wednesday,4,43,0
297,2008-10-23,23,10,2008,Thursday,5,43,0
298,2008-10-24,24,10,2008,Friday,6,43,0
299,2008-10-25,25,10,2008,Saturday,7,43,1
300,2008-10-26,26,10,2008,Sunday,1,44,1
301,2008-10-27,27,10,2008,Monday,2,44,0
302,2008-10-28,28,10,2008,Tuesday,3,44,0
303,2008-10-29,29,10,2008,Wednesday,4,44,0
304,2008-10-30,30,10,2008,Thursday,5,44,0
305,2008-10-31,31,10,2008,Friday,6,44,0
306,2008-11-01,1,11,2008,Saturday,7,44,1
307,2008-11-02,2,11,2008,Sunday,1,45,1
308,2008-11-03,3,11,2008,Monday,2,45,0
309,2008-11-04,4,11,2008,Tuesday,3,45,0
310,2008-11-05,5,11,2008,Wednesday,4,45,0
311,2008-11-06,6,11,2008,Thursday,5,45,0
312,2008-11-07,7,11,2008,Friday,6,45,0
313,2008-11-08,8,11,2008,Saturday,7,45,1
314,2008-11-09,9,11,2008,Sunday,1,46,1
315,2008-11-10,10,11,2008,Monday,2,46,0
316,2008-11-11,11,11,2008,Tuesday,3,46,0
317,2008-11-12,12,11,2008,Wednesday,4,46,0
318,2008-11-13,13,11,2008,Thursday,5,46,0
319,2008-11-14,14,11,2008,Friday,6,46,0
320,2008-11-15,15,11,2008,Saturday,7,46,1
321,2008-11-16,16,11,2008,Sunday,1,47,1
322,2008-11-17,17,11,2008,Monday,2,47,0
323,2008-11-18,18,11,2008,Tuesday,3,47,0
324,2008-11-19,19,11,2008,Wednesday,4,47,0
325,2008-11-20,20,11,2008,Thursday,5,47,0
326,2008-11-21,21,11,2008,Friday,6,47,0
327,2008-11-22,22,11,2008,Saturday,7,47,1
328,2008-11-23,23,11,2008,Sunday,1,48,1
329,2008-11-24,24,11,2008,Monday,2,48,0
330,2008-11-25,25,11,2008,Tuesday,3,48,0
331,2008-11-26,26,11,2008,Wednesday,4,48,0
332,2008-11-27,27,11,2008,Thursday,5,48,0
333,2008-11-28,28,11,2008,Friday,6,48,0
334,2008-11-29,29,11,2008,Saturday,7,48,1
335,2008-11-30,30,11,2008,Sunday,1,49,1
336,2008-12-01,1,12,2008,Monday,2,49,0
337,2008-12-02,2,12,2008,Tuesday,3,49,0
338,2008-12-03,3,12,2008,Wednesday,4,49,0
339,2008-12-04,4,12,2008,Thursday,5,49,0
340,2008-12-05,5,12,2008,Friday,6,49,0
341,2008-12-06,6,12,2008,Saturday,7,49,1
342,2008-12-07,7,12,2008,Sunday,1,50,1
343,2008-12-08,8,12,2008,Monday,2,50,0
344,2008-12-09,9,12,2008,Tuesday,3,50,0
345,2008-12-10,10,12,2008,Wednesday,4,50,0
346,2008-12-11,11,12,2008,Thursday,5,50,0
347,2008-12-12,12,12,2008,Friday,6,50,0
348,2008-12-13,13,12,2008,Saturday,7,50,1
349,2008-12-14,14,12,2008,Sunday,1,51,1
350,2008-12-15,15,12,2008,Monday,2,51,0
351,2008-12-16,16,12,2008,Tuesday,3,51,0
352,2008-12-17,17,12,2008,Wednesday,4,51,0
353,2008-12-18,18,12,2008,Thursday,5,51,0
354,2008-12-19,19,12,2008,Friday,6,51,0
355,2008-12-20,20,12,2008,Saturday,7,51,1
356,2008-12-21,21,12,2008,Sunday,1,52,1
357,2008-12-22,22,12,2008,Monday,2,52,0
358,2008-12-23,23,12,2008,Tuesday,3,52,0
359,2008-12-24,24,12,2008,Wednesday,4,52,0
360,2008-12-25,25,12,2008,Thursday,5,52,0
361,2008-12-26,26,12,2008,Friday,6,52,0
362,2008-12-27,27,12,2008,Saturday,7,52,1
363,2008-12-28,28,12,2008,Sunday,1,53,1
364,2008-12-29,29,12,2008,Monday,2,53,0
365,2008-12-30,30,12,2008,Tuesday,3,53,0
366,2008-12-31,31,12,2008,Wednesday,4,53,0
367,2009-01-01,1,1,2009,Thursday,5,1,0
368,2009-01-02,2,1,2009,Friday,6,1,0
369,2009-01-03,3,1,2009,Saturday,7,1,1
370,2009-01-04,4,1,2009,Sunday,1,2,1
371,2009-01-05,5,1,2009,Monday,2,2,0
372,2009-01-06,6,1,2009,Tuesday,3,2,0
373,2009-01-07,7,1,2009,Wednesday,4,2,0
374,2009-01-08,8,1,2009,Thursday,5,2,0
375,2009-01-09,9,1,2009,Friday,6,2,0
376,2009-01-10,10,1,2009,Saturday,7,2,1
377,2009-01-11,11,1,2009,Sunday,1,3,1
378,2009-01-12,12,1,2009,Monday,2,3,0
379,2009-01-13,13,1,2009,Tuesday,3,3,0
380,2009-01-14,14,1,2009,Wednesday,4,3,0
381,2009-01-15,15,1,2009,Thursday,5,3,0
382,2009-01-16,16,1,2009,Friday,6,3,0
383,2009-01-17,17,1,2009,Saturday,7,3,1
384,2009-01-18,18,1,2009,Sunday,1,4,1
385,2009-01-19,19,1,2009,Monday,2,4,0
386,2009-01-20,20,1,2009,Tuesday,3,4,0
387,2009-01-21,21,1,2009,Wednesday,4,4,0
388,2009-01-22,22,1,2009,Thursday,5,4,0
389,2009-01-23,23,1,2009,Friday,6,4,0
390,2009-01-24,24,1,2009,Saturday,7,4,1
391,2009-01-25,25,1,2009,Sunday,1,5,1
392,2009-01-26,26,1,2009,Monday,2,5,0
393,2009-01-27,27,1,2009,Tuesday,3,5,0
394,2009-01-28,28,1,2009,Wednesday,4,5,0
395,2009-01-29,29,1,2009,Thursday,5,5,0
396,2009-01-30,30,1,2009,Friday,6,5,0
397,2009-01-31,31,1,2009,Saturday,7,5,1
398,2009-02-01,1,2,2009,Sunday,1,6,1
399,2009-02-02,2,2,2009,Monday,2,6,0
400,2009-02-03,3,2,2009,Tuesday,3,6,0
401,2009-02-04,4,2,2009,Wednesday,4,6,0
402,2009-02-05,5,2,2009,Thursday,5,6,0
403,2009-02-06,6,2,2009,Friday,6,6,0
404,2009-02-07,7,2,2009,Saturday,7,6,1
405,2009-02-08,8,2,2009,Sunday,1,7,1
406,2009-02-09,9,2,2009,Monday,2,7,0
407,2009-02-10,10,2,2009,Tuesday,3,7,0
408,2009-02-11,11,2,2009,Wednesday,4,7,0
409,2009-02-12,12,2,2009,Thursday,5,7,0
410,2009-02-13,13,2,2009,Friday,6,7,0
411,2009-02-14,14,2,2009,Saturday,7,7,1
412,2009-02-15,15,2,2009,Sunday,1,8,1
413,2009-02-16,16,2,2009,Monday,2,8,0
414,2009-02-17,17,2,2009,Tuesday,3,8,0
415,2009-02-18,18,2,2009,Wednesday,4,8,0
416,2009-02-19,19,2,2009,Thursday,5,8,0
417,2009-02-20,20,2,2009,Friday,6,8,0
418,2009-02-21,21,2,2009,Saturday,7,8,1
419,2009-02-22,22,2,2009,Sunday,1,9,1
420,2009-02-23,23,2,2009,Monday,2,9,0
421,2009-02-24,24,2,2009,Tuesday,3,9,0
422,2009-02-25,25,2,2009,Wednesday,4,9,0
423,2009-02-26,26,2,2009,Thursday,5,9,0
424,2009-02-27,27,2,2009,Friday,6,9,0
425,2009-02-28,28,2,2009,Saturday,7,9,1
426,2009-03-01,1,3,2009,Sunday,1,10,1
427,2009-03-02,2,3,2009,Monday,2,10,0
428,2009-03-03,3,3,2009,Tuesday,3,10,0
429,2009-03-04,4,3,2009,Wednesday,4,10,0
430,2009-03-05,5,3,2009,Thursday,5,10,0
431,2009-03-06,6,3,2009,Friday,6,10,0
432,2009-03-07,7,3,2009,Saturday,7,10,1
433,2009-03-08,8,3,2009,Sunday,1,11,1
434,2009-03-09,9,3,2009,Monday,2,11,0
435,2009-03-10,10,3,2009,Tuesday,3,11,0
436,2009-03-11,11,3,2009,Wednesday,4,11,0
437,2009-03-12,12,3,2009,Thursday,5,11,0
438,2009-03-13,13,3,2009,Friday,6,11,0
439,2009-03-14,14,3,2009,Saturday,7,11,1
440,2009-03-15,15,3,2009,Sunday,1,12,1
441,2009-03-16,16,3,2009,Monday,2,12,0
442,2009-03-17,17,3,2009,Tuesday,3,12,0
443,2009-03-18,18,3,2009,Wednesday,4,12,0
444,2009-03-19,19,3,2009,Thursday,5,12,0
445,2009-03-20,20,3,2009,Friday,6,12,0
446,2009-03-21,21,3,2009,Saturday,7,12,1
447,2009-03-22,22,3,2009,Sunday,1,13,1
448,2009-03-23,23,3,2009,Monday,2,13,0
449,2009-03-24,24,3,2009,Tuesday,3,13,0
450,2009-03-25,25,3,2009,Wednesday,4,13,0
451,2009-03-26,26,3,2009,Thursday,5,13,0
452,2009-03-27,27,3,2009,Friday,6,13,0
453,2009-03-28,28,3,2009,Saturday,7,13,1
454,2009-03-29,29,3,2009,Sunday,1,14,1
455,2009-03-30,30,3,2009,Monday,2,14,0
456,2009-03-31,31,3,2009,Tuesday,3,14,0
457,2009-04-01,1,4,2009,Wednesday,4,14,0
458,2009-04-02,2,4,2009,Thursday,5,14,0
459,2009-04-03,3,4,2009,Friday,6,14,0
460,2009-04-04,4,4,2009,Saturday,7,14,1
461,2009-04-05,5,4,2009,Sunday,1,15,1
462,2009-04-06,6,4,2009,Monday,2,15,0
463,2009-04-07,7,4,2009,Tuesday,3,15,0
464,2009-04-08,8,4,2009,Wednesday,4,15,0
465,2009-04-09,9,4,2009,Thursday,5,15,0
466,2009-04-10,10,4,2009,Friday,6,15,0
467,2009-04-11,11,4,2009,Saturday,7,15,1
468,2009-04-12,12,4,2009,Sunday,1,16,1
469,2009-04-13,13,4,2009,Monday,2,16,0
470,2009-04-14,14,4,2009,Tuesday,3,16,0
471,2009-04-15,15,4,2009,Wednesday,4,16,0
472,2009-04-16,16,4,2009,Thursday,5,16,0
473,2009-04-17,17,4,2009,Friday,6,16,0
474,2009-04-18,18,4,2009,Saturday,7,16,1
475,2009-04-19,19,4,2009,Sunday,1,17,1
476,2009-04-20,20,4,2009,Monday,2,17,0
477,2009-04-21,21,4,2009,Tuesday,3,17,0
478,2009-04-22,22,4,2009,Wednesday,4,17,0
479,2009-04-23,23,4,2009,Thursday,5,17,0
480,2009-04-24,24,4,2009,Friday,6,17,0
481,2009-04-25,25,4,2009,Saturday,7,17,1
482,2009-04-26,26,4,2009,Sunday,1,18,1
483,2009-04-27,27,4,2009,Monday,2,18,0
484,2009-04-28,28,4,2009,Tuesday,3,18,0
485,2009-04-29,29,4,2009,Wednesday,4,18,0
486,2009-04-30,30,4,2009,Thursday,5,18,0
487,2009-05-01,1,5,2009,Friday,6,18,0
488,2009-05-02,2,5,2009,Saturday,7,18,1
489,2009-05-03,3,5,2009,Sunday,1,19,1
490,2009-05-04,4,5,2009,Monday,2,19,0
491,2009-05-05,5,5,2009,Tuesday,3,19,0
492,2009-05-06,6,5,2009,Wednesday,4,19,0
493,2009-05-07,7,5,2009,Thursday,5,19,0
494,2009-05-08,8,5,2009,Friday,6,19,0
495,2009-05-09,9,5,2009,Saturday,7,19,1
496,2009-05-10,10,5,2009,Sunday,1,20,1
497,2009-05-11,11,5,2009,Monday,2,20,0
498,2009-05-12,12,5,2009,Tuesday,3,20,0
499,2009-05-13,13,5,2009,Wednesday,4,20,0
500,2009-05-14,14,5,2009,Thursday,5,20,0
501,2009-05-15,15,5,2009,Friday,6,20,0
502,2009-05-16,16,5,2009,Saturday,7,20,1
503,2009-05-17,17,5,2009,Sunday,1,21,1
504,2009-05-18,18,5,2009,Monday,2,21,0
505,2009-05-19,19,5,2009,Tuesday,3,21,0
506,2009-05-20,20,5,2009,Wednesday,4,21,0
507,2009-05-21,21,5,2009,Thursday,5,21,0
508,2009-05-22,22,5,2009,Friday,6,21,0
509,2009-05-23,23,5,2009,Saturday,7,21,1
510,2009-05-24,24,5,2009,Sunday,1,22,1
511,2009-05-25,25,5,2009,Monday,2,22,0
512,2009-05-26,26,5,2009,Tuesday,3,22,0
513,2009-05-27,27,5,2009,Wednesday,4,22,0
514,2009-05-28,28,5,2009,Thursday,5,22,0
